Latitude,Longitude
49.8842,8.65164
49.8842,8.65167
49.8846,8.65178
49.8847,8.65181
49.8847,8.65182
49.8848,8.65183
49.885,8.65189
49.8854,8.65196
49.8856,8.652
49.8864,8.65218
49.8868,8.65228
49.887,8.65232
49.8871,8.65234
49.8871,8.65235
49.8888,8.65271
49.8787,8.66701
49.8787,8.66803
49.8788,8.66861
49.8788,8.66882
49.8788,8.66902
49.8789,8.66927
49.8791,8.66972
49.8791,8.66984
49.8792,8.66998
49.8835,8.65758
49.8835,8.65773
49.8831,8.65927
49.8831,8.65963
49.883,8.65976
49.883,8.6598
49.883,8.65988
49.875,8.64346
49.875,8.64366
49.8752,8.64488
49.8893,8.65127
49.8895,8.65213
49.9002,8.65498
49.9003,8.65493
49.884,8.65136
49.8839,8.65134
49.8839,8.65134
49.884,8.65145
49.884,8.6515
49.884,8.65158
49.8899,8.65521
49.8897,8.65372
